.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
 284   1.575    0.04    0.06
 285   1.575    0.04    0.05
 286   1.575    0.04    0.03
 287   1.575    0.05    0.04
 288   1.560    0.03    0.06
 289   1.560    0.05    0.04
 290   1.560    0.03    0.04
 291   1.560    0.03    0.07
 292   1.560    0.02    0.05
 293   1.560    0.04    0.04
 294   1.560    0.03    0.03
 295   1.560    0.06    0.05
 296   1.560    0.05    0.07
 297   1.560    0.06    0.03
 298   1.770    0.03    0.04
 299   1.710    0.05    0.04
 300   1.665    0.05    0.06
 301   1.635    0.03    0.06
 302   1.605    0.06    0.05
 303   1.590    0.04    0.05
 304   1.590    0.02    0.06
 305   1.575    0.04    0.06
 306   1.575    0.03    0.05
 307   1.575    0.03    0.05
 308   1.560    0.05    0.05
 309   1.560    0.08    0.07
 310   1.560    0.04    0.06
 311   1.560    0.04    0.06
 312   1.560    0.05    0.04
 313   1.560    0.10    0.04
 314   1.560    0.09    0.07
 315   1.560    0.04    0.03
 316   1.560    0.09    0.04
 317   1.560    0.06    0.05
 318   1.560    0.03    0.03
 319   1.560    0.02    0.04
 320   1.560    0.04    0.03
 321   1.560    0.05    0.05
 322   1.560    0.02    0.02
 323   1.560    0.09    0.03
 324   1.560    0.03    0.03
 325   1.560    0.04    0.04
 326   1.560    0.03    0.06
 327   1.560    0.04    0.03
 328   1.560    0.03    0.04
 329   1.560    0.05    0.06
 330   1.560    0.04    0.05
 331   1.560    0.03    0.04
 332   1.545    0.03    0.04
 333   1.545    0.01    0.05
 334   1.545    0.04    0.06
 335   1.665    0.05    0.05
 336   1.635    0.05    0.05
 337   1.605    0.06    0.03
 338   1.590    0.03    0.08
 339   1.575    0.05    0.03
 340   1.575    0.02    0.05
 341   1.590    0.06    0.04
 342   1.590    0.02    0.03
 343   1.575    0.03    0.04
 344   1.575    0.05    0.04
 345   1.560    0.03    0.05
 346   1.560    0.04    0.04
 347   1.560    0.04    0.06
 348   1.560    0.03    0.05
 349   1.560    0.02    0.03
 350   1.560    0.04    0.03
 351   1.560    0.05    0.05
 352   1.560    0.05    0.04
 353   1.560    0.03    0.05
 354   1.560    0.04    0.04
 355   1.560    0.03    0.04
 356   1.560    0.03    0.06
 357   1.560    0.04    0.06
 358   1.560    0.03    0.05
 359   1.560    0.01    0.03
 360   1.560    0.02    0.06
 361   1.560    0.06    0.09
 362   1.545    0.05    0.07
 363   1.545    0.03    0.08
 364   1.545    0.03    0.03
 365   1.545    0.03    0.06
