CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
              96   8.050   8.050  61.995      1.117   1.392   8.730   1.200   0.023  68.000   0.579   9.070   0.000
              97   8.300   8.300  67.050      1.114   1.373   8.136   1.200   0.023  50.000   0.373   9.350   0.000
              98   8.700   8.700  80.503      1.112   1.355   8.562   1.200   0.015  44.000   0.182   6.020   0.000
              99   9.150   9.150  84.335      1.110   1.336   7.450   1.200   0.012  40.000   1.225   4.870   0.000
             100   6.950   6.950  62.892      1.107   1.318   7.808   1.200   0.003  38.000   0.877   1.190   0.000
             101   7.650   7.650  64.849      1.105   1.300   7.118   1.200   0.007  42.000   0.310   2.780   0.000
             102   8.350   8.350  58.245      1.103   1.282   9.874   1.200   0.010  42.000   0.729   4.110   0.000
             103  10.050  10.050  55.554      1.100   1.264   9.750   1.200   0.017  40.000   0.433   6.900   0.000
             104   8.300   8.300  68.029      1.098   1.247   9.030   1.200   0.005  40.000   3.195   2.110   0.000
             105   8.600   8.600  49.358      1.096   1.229  10.302   1.200   0.006  38.000   1.401   2.560   0.000
             106   9.400   9.400  61.588      1.094   1.212  10.830   1.200   0.011  31.000   0.467   4.540   0.000
             107  10.500  10.500  88.411      1.092   1.194   9.834   1.200   0.014  29.000   0.433   5.600   0.000
             108  11.250  11.250  52.130      1.089   1.177   8.902   1.200   0.010  29.000   0.268   4.160   0.000
             109  11.450  11.450  55.636      1.087   1.160   7.816   1.200   0.003  31.000   0.211   1.190   0.000
             110  10.250  10.250  69.333      1.085   1.143   8.040   1.200   0.005  31.000   0.123   2.040   0.000
             111   9.850   9.850  71.290      1.083   1.127   7.828   1.200   0.006  30.000   0.148   2.430   0.000
             112  10.700  10.700  56.940      1.081   1.110   4.335   1.200   0.011  30.000   3.501   4.430   0.000
             113  11.400  11.400  42.998      1.079   1.094   5.880   1.200   0.011  29.000   0.341   4.300   0.000
             114  11.800  11.800  79.687      1.077   1.077   5.610   1.200   0.008  28.000   0.398   3.210   0.000
             115  11.650  11.650  46.667      1.075   1.061   3.898   1.200   0.010  28.000   0.350   3.850   0.000
             116  11.000  11.000  64.849      1.072   1.045   3.580   1.200   0.004  32.500   0.291   1.430   0.000
             117  11.000  11.000  85.476      1.070   1.029   4.568   1.200   0.008  27.000   1.298   3.280   0.000
             118  10.650  10.650  62.077      1.068   1.014   5.720   1.200   0.010  46.000   0.321   4.180   0.000
             119  10.500  10.500  79.851      1.066   0.998   7.256   1.200   0.006  58.000   0.164   2.360   0.000
             120  10.800  10.800  55.391      1.064   0.982   8.382   1.200   0.015  73.000   0.506   6.160   0.000
             121  10.750  10.750  79.035      1.062   0.967   8.868   1.200   0.023  44.500   0.684   9.260   0.000
             122   9.100   9.100  63.707      1.060   0.952   8.418   1.200   0.010  39.500   2.366   4.180   0.000
             123  10.500  10.500  79.932      1.059   0.937   8.112   1.200   0.016  54.000   2.123   6.400   0.000
             124  11.600  11.600  90.450      1.057   0.922   6.708   1.200   0.009  91.500   0.410   3.560   0.000
             125  12.650  12.650  84.905      1.055   0.907   5.950   1.200   0.017  68.500   0.223   6.940   0.000
             126  13.900  13.900  69.578      1.053   0.892   7.335   1.200   0.017  50.500   0.725   6.840   0.000
             127  14.700  14.700  48.869      1.051   0.878   4.073   1.200   0.005  86.500   0.311   1.940   0.000
